method,scale,distance,treatment,flake,nodule number,nodule sub number,flake number,average curvature,standard deviation,sheet
old method,20um,0.5,F1F,O_N_38_2,38,,2,4.322249791,10.00334737,old-0.5-20
old method,20um,0.5,F1F,O_N_38_3,38,,3,4.716424898,11.27903962,old-0.5-20
old method,20um,0.5,F1F,O_N_38_9,38,,9,8.795888544,16.01209106,old-0.5-20
old method,20um,0.5,F1F,O_N_38_10,38,,10,5.802367475,8.843909786,old-0.5-20
old method,20um,0.5,F1F,O_N_38_13,38,,13,4.479639937,11.23539777,old-0.5-20
old method,20um,0.5,F1F,O_N_38_18,38,,18,8.311479366,12.44991083,old-0.5-20
old method,20um,0.5,F1F,O_N_38_20,38,,20,4.301459474,11.07935902,old-0.5-20
old method,20um,0.5,F1F,O_N_38_22A,38,,22A,4.504784028,10.51091756,old-0.5-20
old method,20um,0.5,F1F,O_N_38_25,38,,25,5.349585697,10.94532289,old-0.5-20
old method,20um,0.5,F1F,O_N_54A_15,54,A,15,18.05311213,22.84331695,old-0.5-20
old method,20um,0.5,F1F,O_N_2_11B,2,,11B,5.260026663,12.4275723,old-0.5-20
old method,20um,0.5,F1F,O_N_2_11A,2,,11A,4.915586798,9.998236463,old-0.5-20
old method,20um,0.5,F1F,O_N_2_19,2,,19,8.383477213,12.43045008,old-0.5-20
old method,20um,0.5,F1F,O_N_14A_4,14,A,4,5.808657602,10.08186269,old-0.5-20
old method,20um,0.5,F1F,O_N_14A_15,14,A,15,4.04301599,12.37739521,old-0.5-20
old method,20um,0.5,F1F,O_N_54A_31,54,A,31,4.846080291,10.06708842,old-0.5-20
old method,20um,0.5,F1F,O_N_14A_27,14,A,27,4.975141789,13.38217811,old-0.5-20
old method,20um,0.5,F2F,O_N_32A-3,32,A,3,6.312285761,10.26139746,old-0.5-20
old method,20um,0.5,F2F,O_N_32A-21,32,A,21,9.489552882,12.35323822,old-0.5-20
old method,20um,0.5,F2F,O_N_32A-29,32,A,29,4.879418903,11.46598638,old-0.5-20
old method,20um,0.5,F2F,O_N_32B-3,32,B,3,6.681146596,13.2548622,old-0.5-20
old method,20um,0.5,F2F,O_N_32B-7,32,B,7,4.862403204,11.52101549,old-0.5-20
old method,20um,0.5,F2F,O_N_32B-16,32,B,16,7.629654929,16.16610301,old-0.5-20
old method,20um,0.5,F2F,O_N_32C-3,32,C,3,12.90934532,18.91125531,old-0.5-20
old method,20um,0.5,F2F,O_N_32C-4,32,C,4,5.185634537,12.55707312,old-0.5-20
old method,20um,0.5,F2F,O_N_32C-7,32,C,7,5.798500367,14.12484026,old-0.5-20
old method,10um,1,Unheated,O.N.87_A_14,87,A,14,11.46697522,11.13515411,old-1.0-10
old method,10um,1,Unheated,O.N.87_A_17,87,A,17,9.895538344,10.62801427,old-1.0-10
old method,10um,1,Unheated,O.N.87_A_19,87,A,19,26.93385783,32.79213604,old-1.0-10
old method,10um,1,Unheated,O.N.87_A_22,87,A,22,18.78452174,26.94577752,old-1.0-10
old method,10um,1,Unheated,O.N.87_A_29,87,A,29,8.702264027,7.73320425,old-1.0-10
old method,10um,1,Unheated,O.N.87_A_4,87,A,4,9.677904249,13.89794314,old-1.0-10
old method,10um,1,Unheated,O.N.87_A_5,87,A,5,10.89083679,12.4898556,old-1.0-10
old method,10um,1,Unheated,O.N.87_A_9,87,A,9,7.160051976,7.740436389,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_13,87,B,13,9.731740026,12.82357872,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_19,87,B,19,10.78094766,12.3211511,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_23,87,B,23,13.07030355,14.81458699,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_24,87,B,24,21.31067907,30.9335052,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_28,87,B,28,14.20998835,19.94708571,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_2,87,B,2,14.6760668,20.14764795,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_31,87,B,31,24.69896115,33.03669365,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_6,87,B,6,23.10632007,28.0581875,old-1.0-10
old method,10um,1,Unheated,O.N.87_B_7,87,B,7,12.88519157,15.29062868,old-1.0-10
old method,10um,1,F1S,O_N_37_2,37,,2,18.99351625,31.32714489,old-1.0-10
old method,10um,1,F1S,O_N_37_3A,37,,3A,6.8424089,10.89381623,old-1.0-10
old method,10um,1,F1S,O_N_37_4A,37,,4A,6.54655544,13.72438964,old-1.0-10
old method,10um,1,F1S,O_N_37_8A,37,,8A,18.68223241,30.7931381,old-1.0-10
old method,10um,1,F1S,O_N_37_8B,37,,8B,10.77069392,21.13386515,old-1.0-10
old method,10um,1,F1S,O_N_37_12A,37,,12A,10.6776177,15.04365054,old-1.0-10
old method,10um,1,F1S,O_N_37_17A,37,,17A,9.584328094,16.46668811,old-1.0-10
old method,10um,1,F1S,O_N_37_21,37,,21,14.65578805,30.54240954,old-1.0-10
old method,10um,1,F1S,O_N_37_30,37,,30,7.396709804,13.15848113,old-1.0-10
old method,10um,1,F1S,O_N_37_45,37,,45,4.95517122,10.62911025,old-1.0-10
old method,10um,1,F1S,O_N_1_1,1,,1,12.47741462,15.54028598,old-1.0-10
old method,10um,1,F1S,O_N_1_6A,1,,6A,20.37470743,26.71457986,old-1.0-10
old method,10um,1,F1S,O_N_1_7A,1,,7A,11.91742443,16.89569171,old-1.0-10
old method,10um,1,F1S,O_N_1_7B,1,,7B,21.03581139,31.54628937,old-1.0-10
old method,10um,1,F1S,O_N_1_8A,1,,8A,19.99864897,27.2918314,old-1.0-10
old method,10um,1,F1S,O_N_1_15A,1,,15A,20.74669681,23.62091046,old-1.0-10
old method,10um,1,F1S,O_N_1_21,1,,21,21.69279756,27.73994784,old-1.0-10
old method,10um,1,F2S,O_N_31_3A,31,,3A,6.11923802,19.53870591,old-1.0-10
old method,10um,1,F2S,O_N_31_5A,31,,5A,6.768006333,8.889080848,old-1.0-10
old method,10um,1,F2S,O_N_31_8,31,,8,5.948815617,13.95173805,old-1.0-10
old method,10um,1,F2S,O_N_31_12A,31,,12A,7.744044795,16.12282065,old-1.0-10
old method,10um,1,F2S,O_N_31_12B,31,,12B,11.53538157,21.73737487,old-1.0-10
old method,10um,1,F2S,O_N_31_16,31,,16,21.28886338,41.33674315,old-1.0-10
old method,10um,1,F2S,O_N_31_26,31,,26,9.786080901,14.78299387,old-1.0-10
old method,10um,1,F2S,O_N_31_28,31,,28,5.758414482,7.485662535,old-1.0-10
old method,10um,1,F2S,O_N_31_32,31,,32,6.65495231,19.43960428,old-1.0-10
old method,10um,1,F2S,O_N_31_39,31,,39,8.587416795,12.4720363,old-1.0-10
old method,10um,1,F2S,O_N_31_47,31,,47,11.69500745,23.77871576,old-1.0-10
old method,10um,1,F2S,O_N_31_50,31,,50,14.53350612,23.69096392,old-1.0-10
old method,10um,1,F2S,O_N_35_6,35,,6,6.142775813,12.72848785,old-1.0-10
old method,10um,1,F2S,O_N_35_28,35,,28,5.568857312,11.59718284,old-1.0-10
old method,10um,1,F2S,O_N_35_29,35,,29,7.396464282,16.39992826,old-1.0-10
old method,10um,1,F2S,O_N_35_31,35,,31,11.58692372,17.88056949,old-1.0-10
old method,10um,1,F2S,O_N_35_33,35,,33,5.329025113,9.434183894,old-1.0-10
old method,10um,1,F1F,O_N_38_2,38,,2,5.197005073,10.73859181,old-1.0-10
old method,10um,1,F1F,O_N_38_3,38,,3,4.455654286,12.02433435,old-1.0-10
old method,10um,1,F1F,O_N_38_9,38,,9,9.671619378,17.34939716,old-1.0-10
old method,10um,1,F1F,O_N_38_10,38,,10,6.308390754,9.227323451,old-1.0-10
old method,10um,1,F1F,O_N_38_13,38,,13,7.005417318,12.65121988,old-1.0-10
old method,10um,1,F1F,O_N_38_18,38,,18,11.42454518,20.37254547,old-1.0-10
old method,10um,1,F1F,O_N_38_20,38,,20,6.673125793,13.08371731,old-1.0-10
old method,10um,1,F1F,O_N_38_22A,38,,22A,6.413250774,11.65860355,old-1.0-10
old method,10um,1,F1F,O_N_38_25,38,,25,7.624594706,11.59224054,old-1.0-10
old method,10um,1,F1F,O_N_54A_15,54,A,15,23.7802909,33.14530823,old-1.0-10
old method,10um,1,F1F,O_N_2_11B,2,,11B,5.487081661,10.80683986,old-1.0-10
old method,10um,1,F1F,O_N_2_11A,2,,11A,6.964624789,12.64759924,old-1.0-10
old method,10um,1,F1F,O_N_2_19,2,,19,9.916630112,13.20739791,old-1.0-10
old method,10um,1,F1F,O_N_14A_4,14,A,4,5.932721497,11.56793382,old-1.0-10
old method,10um,1,F1F,O_N_14A_15,14,A,15,4.067524519,13.9079467,old-1.0-10
old method,10um,1,F1F,O_N_54A_31,54,A,31,5.973807745,9.793381683,old-1.0-10
old method,10um,1,F1F,O_N_14A_27,14,A,27,5.002395641,12.70101362,old-1.0-10
old method,10um,1,F2F,O_N_32A-3,32,A,3,7.205219328,10.61550584,old-1.0-10
old method,10um,1,F2F,O_N_32A-21,32,A,21,13.42767719,22.49170097,old-1.0-10
old method,10um,1,F2F,O_N_32A-29,32,A,29,5.931422153,11.31158307,old-1.0-10
old method,10um,1,F2F,O_N_32B-3,32,B,3,5.966780752,13.51743154,old-1.0-10
old method,10um,1,F2F,O_N_32B-7,32,B,7,6.179752165,11.47375556,old-1.0-10
old method,10um,1,F2F,O_N_32B-16,32,B,16,6.731347694,14.01135303,old-1.0-10
old method,10um,1,F2F,O_N_32C-3,32,C,3,13.16933933,24.24853958,old-1.0-10
old method,10um,1,F2F,O_N_32C-4,32,C,4,6.062224248,13.2429218,old-1.0-10
old method,10um,1,F2F,O_N_32C-7,32,C,7,6.898971289,14.13011241,old-1.0-10
old method,20um,1,Unheated,O.N.87_A_14,87,A,14,7.430585352,8.296025517,old-1.0-20
old method,20um,1,Unheated,O.N.87_A_17,87,A,17,7.1568232,7.853303151,old-1.0-20
old method,20um,1,Unheated,O.N.87_A_19,87,A,19,19.27659964,19.82493201,old-1.0-20
old method,20um,1,Unheated,O.N.87_A_22,87,A,22,12.33118275,17.22177039,old-1.0-20
old method,20um,1,Unheated,O.N.87_A_29,87,A,29,5.68979894,5.584522509,old-1.0-20
old method,20um,1,Unheated,O.N.87_A_4,87,A,4,7.179671271,10.50058763,old-1.0-20
old method,20um,1,Unheated,O.N.87_A_5,87,A,5,7.823944143,9.172028804,old-1.0-20
old method,20um,1,Unheated,O.N.87_A_9,87,A,9,4.554984162,5.335954095,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_13,87,B,13,7.22277667,9.637427972,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_19,87,B,19,7.4974094,8.683534779,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_23,87,B,23,8.663228116,10.06319729,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_24,87,B,24,12.40183232,16.06362982,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_28,87,B,28,10.24021843,13.48714222,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_2,87,B,2,9.662368348,11.94125634,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_31,87,B,31,16.39180464,18.96987304,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_6,87,B,6,15.1645964,17.63684455,old-1.0-20
old method,20um,1,Unheated,O.N.87_B_7,87,B,7,7.948391428,9.19384939,old-1.0-20
old method,20um,1,F1S,O_N_37_2,37,,2,13.67479213,23.18690129,old-1.0-20
old method,20um,1,F1S,O_N_37_3A,37,,3A,4.799772113,7.800032545,old-1.0-20
old method,20um,1,F1S,O_N_37_4A,37,,4A,4.301631156,10.1928129,old-1.0-20
old method,20um,1,F1S,O_N_37_8A,37,,8A,12.85879634,19.00589161,old-1.0-20
old method,20um,1,F1S,O_N_37_8B,37,,8B,5.24443053,8.975213463,old-1.0-20
old method,20um,1,F1S,O_N_37_12A,37,,12A,8.193830461,11.72439676,old-1.0-20
old method,20um,1,F1S,O_N_37_17A,37,,17A,4.907794299,8.969222762,old-1.0-20
old method,20um,1,F1S,O_N_37_21,37,,21,10.70384447,19.69550359,old-1.0-20
old method,20um,1,F1S,O_N_37_30,37,,30,4.554406651,8.90493481,old-1.0-20
old method,20um,1,F1S,O_N_37_45,37,,45,3.162570507,8.198141,old-1.0-20
old method,20um,1,F1S,O_N_1_1,1,,1,8.009929291,8.956864333,old-1.0-20
old method,20um,1,F1S,O_N_1_6A,1,,6A,15.0995518,19.17528108,old-1.0-20
old method,20um,1,F1S,O_N_1_7A,1,,7A,8.255027275,12.42451933,old-1.0-20
old method,20um,1,F1S,O_N_1_7B,1,,7B,13.39128041,16.76498916,old-1.0-20
old method,20um,1,F1S,O_N_1_8A,1,,8A,12.67483849,18.24296596,old-1.0-20
old method,20um,1,F1S,O_N_1_15A,1,,15A,14.27642574,15.98719503,old-1.0-20
old method,20um,1,F1S,O_N_1_21,1,,21,15.39653259,18.10352018,old-1.0-20
old method,20um,1,F2S,O_N_31_3A,31,,3A,3.783515418,10.59139552,old-1.0-20
old method,20um,1,F2S,O_N_31_5A,31,,5A,4.392501485,6.392498492,old-1.0-20
old method,20um,1,F2S,O_N_31_8,31,,8,3.806769029,10.2300813,old-1.0-20
old method,20um,1,F2S,O_N_31_12A,31,,12A,5.657844663,10.46273356,old-1.0-20
old method,20um,1,F2S,O_N_31_12B,31,,12B,8.103422785,15.09076429,old-1.0-20
old method,20um,1,F2S,O_N_31_16,31,,16,13.89915211,25.8460223,old-1.0-20
old method,20um,1,F2S,O_N_31_26,31,,26,5.892921513,10.26459682,old-1.0-20
old method,20um,1,F2S,O_N_31_28,31,,28,3.614781435,5.902957735,old-1.0-20
old method,20um,1,F2S,O_N_31_32,31,,32,4.163832634,12.89944379,old-1.0-20
old method,20um,1,F2S,O_N_31_39,31,,39,5.303010473,8.322920431,old-1.0-20
old method,20um,1,F2S,O_N_31_47,31,,47,7.371552921,17.17124344,old-1.0-20
old method,20um,1,F2S,O_N_31_50,31,,50,8.059931751,13.57243227,old-1.0-20
old method,20um,1,F2S,O_N_35_6,35,,6,4.00580235,8.499572114,old-1.0-20
old method,20um,1,F2S,O_N_35_28,35,,28,3.81877547,8.300673415,old-1.0-20
old method,20um,1,F2S,O_N_35_29,35,,29,5.163263358,11.11260167,old-1.0-20
old method,20um,1,F2S,O_N_35_31,35,,31,6.839493337,10.7832892,old-1.0-20
old method,20um,1,F2S,O_N_35_33,35,,33,3.722291993,7.875169778,old-1.0-20
old method,20um,1,F1F,O_N_38_2,38,,2,3.309395944,7.339196403,old-1.0-20
old method,20um,1,F1F,O_N_38_3,38,,3,3.095565431,8.357962694,old-1.0-20
old method,20um,1,F1F,O_N_38_9,38,,9,6.049880062,12.02044192,old-1.0-20
old method,20um,1,F1F,O_N_38_10,38,,10,4.367328458,6.936421841,old-1.0-20
old method,20um,1,F1F,O_N_38_13,38,,13,4.978981987,9.810803391,old-1.0-20
old method,20um,1,F1F,O_N_38_18,38,,18,6.121409076,9.478372008,old-1.0-20
old method,20um,1,F1F,O_N_38_20,38,,20,4.635837117,9.568238312,old-1.0-20
old method,20um,1,F1F,O_N_38_22A,38,,22A,3.85609121,8.029935395,old-1.0-20
old method,20um,1,F1F,O_N_38_25,38,,25,4.370379267,8.497388391,old-1.0-20
old method,20um,1,F1F,O_N_54A_15,54,A,15,16.34394541,21.23073266,old-1.0-20
old method,20um,1,F1F,O_N_2_11B,2,,11B,3.621052206,9.064368984,old-1.0-20
old method,20um,1,F1F,O_N_2_11A,2,,11A,3.988524836,7.267321228,old-1.0-20
old method,20um,1,F1F,O_N_2_19,2,,19,6.968802826,9.675633826,old-1.0-20
old method,20um,1,F1F,O_N_14A_4,14,A,4,3.809712637,7.643373414,old-1.0-20
old method,20um,1,F1F,O_N_14A_15,14,A,15,2.682937811,9.04760606,old-1.0-20
old method,20um,1,F1F,O_N_54A_31,54,A,31,3.820400876,7.446644389,old-1.0-20
old method,20um,1,F1F,O_N_14A_27,14,A,27,3.398621557,9.736494026,old-1.0-20
old method,20um,1,F2F,O_N_32A-3,32,A,3,4.612698939,7.728439486,old-1.0-20
old method,20um,1,F2F,O_N_32A-21,32,A,21,7.954147866,10.07731032,old-1.0-20
old method,20um,1,F2F,O_N_32A-29,32,A,29,4.085139001,8.440917455,old-1.0-20
old method,20um,1,F2F,O_N_32B-3,32,B,3,4.471103539,9.983739741,old-1.0-20
old method,20um,1,F2F,O_N_32B-7,32,B,7,4.154621057,8.582605165,old-1.0-20
old method,20um,1,F2F,O_N_32B-16,32,B,16,4.913832759,11.95903389,old-1.0-20
old method,20um,1,F2F,O_N_32C-3,32,C,3,9.522788967,15.47251435,old-1.0-20
old method,20um,1,F2F,O_N_32C-4,32,C,4,3.945161339,9.27319454,old-1.0-20
old method,20um,1,F2F,O_N_32C-7,32,C,7,4.672695808,10.71080939,old-1.0-20
old method,10um,2,Unheated,O.N.87_A_14,87,A,14,10.90138591,10.8149882,old-2.0-10
old method,10um,2,Unheated,O.N.87_A_17,87,A,17,8.78768658,9.605899126,old-2.0-10
old method,10um,2,Unheated,O.N.87_A_19,87,A,19,25.11191209,29.37644851,old-2.0-10
old method,10um,2,Unheated,O.N.87_A_22,87,A,22,16.22469955,23.84295432,old-2.0-10
old method,10um,2,Unheated,O.N.87_A_29,87,A,29,11.00950688,10.72125594,old-2.0-10
old method,10um,2,Unheated,O.N.87_A_4,87,A,4,10.21132993,13.94682117,old-2.0-10
old method,10um,2,Unheated,O.N.87_A_5,87,A,5,9.714987212,10.45706989,old-2.0-10
old method,10um,2,Unheated,O.N.87_A_9,87,A,9,6.694073631,6.778717611,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_13,87,B,13,8.185994256,10.12514043,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_19,87,B,19,12.90538605,15.48002726,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_23,87,B,23,11.84850398,12.94716583,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_24,87,B,24,21.52603136,30.20045349,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_28,87,B,28,14.06919363,20.22979256,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_2,87,B,2,13.84595292,16.79593513,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_31,87,B,31,27.32471583,33.8434886,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_6,87,B,6,21.76241166,25.96176173,old-2.0-10
old method,10um,2,Unheated,O.N.87_B_7,87,B,7,18.62569459,24.31960405,old-2.0-10
old method,10um,2,F1S,O_N_37_2,37,,2,14.38477369,24.77051733,old-2.0-10
old method,10um,2,F1S,O_N_37_3A,37,,3A,6.546715092,10.04622825,old-2.0-10
old method,10um,2,F1S,O_N_37_4A,37,,4A,8.235844788,16.64871089,old-2.0-10
old method,10um,2,F1S,O_N_37_8A,37,,8A,17.628969,26.99789158,old-2.0-10
old method,10um,2,F1S,O_N_37_8B,37,,8B,7.655283048,16.15996768,old-2.0-10
old method,10um,2,F1S,O_N_37_12A,37,,12A,9.434061257,12.21560637,old-2.0-10
old method,10um,2,F1S,O_N_37_17A,37,,17A,7.846972267,12.62393942,old-2.0-10
old method,10um,2,F1S,O_N_37_21,37,,21,9.816683018,23.77778078,old-2.0-10
old method,10um,2,F1S,O_N_37_30,37,,30,7.200608471,11.90823902,old-2.0-10
old method,10um,2,F1S,O_N_37_45,37,,45,9.359713462,16.70746027,old-2.0-10
old method,10um,2,F1S,O_N_1_1,1,,1,12.41178625,14.25563667,old-2.0-10
old method,10um,2,F1S,O_N_1_6A,1,,6A,17.91582519,23.41117354,old-2.0-10
old method,10um,2,F1S,O_N_1_7A,1,,7A,12.29118123,15.22266021,old-2.0-10
old method,10um,2,F1S,O_N_1_7B,1,,7B,18.19112509,26.95901729,old-2.0-10
old method,10um,2,F1S,O_N_1_8A,1,,8A,17.95256507,23.16426531,old-2.0-10
old method,10um,2,F1S,O_N_1_15A,1,,15A,15.9328948,19.95845081,old-2.0-10
old method,10um,2,F1S,O_N_1_21,1,,21,19.33823192,26.45904471,old-2.0-10
old method,10um,2,F2S,O_N_31_3A,31,,3A,4.853025522,14.28404881,old-2.0-10
old method,10um,2,F2S,O_N_31_5A,31,,5A,6.062367307,7.125210346,old-2.0-10
old method,10um,2,F2S,O_N_31_8,31,,8,6.509131306,11.10670764,old-2.0-10
old method,10um,2,F2S,O_N_31_12A,31,,12A,8.455119135,17.58689987,old-2.0-10
old method,10um,2,F2S,O_N_31_12B,31,,12B,8.159251547,16.55257088,old-2.0-10
old method,10um,2,F2S,O_N_31_16,31,,16,14.40145417,31.82323771,old-2.0-10
old method,10um,2,F2S,O_N_31_26,31,,26,8.329085893,11.59419251,old-2.0-10
old method,10um,2,F2S,O_N_31_28,31,,28,5.215640927,6.104246444,old-2.0-10
old method,10um,2,F2S,O_N_31_32,31,,32,6.322342643,14.25151547,old-2.0-10
old method,10um,2,F2S,O_N_31_39,31,,39,7.828610613,10.43733156,old-2.0-10
old method,10um,2,F2S,O_N_31_47,31,,47,9.661996931,18.44633569,old-2.0-10
old method,10um,2,F2S,O_N_31_50,31,,50,13.05905635,19.54142828,old-2.0-10
old method,10um,2,F2S,O_N_35_6,35,,6,14.8027284,22.21953816,old-2.0-10
old method,10um,2,F2S,O_N_35_28,35,,28,5.240150126,8.648844207,old-2.0-10
old method,10um,2,F2S,O_N_35_29,35,,29,5.719815705,12.26154779,old-2.0-10
old method,10um,2,F2S,O_N_35_31,35,,31,7.881504866,13.93179464,old-2.0-10
old method,10um,2,F2S,O_N_35_33,35,,33,6.218232123,9.62768114,old-2.0-10
old method,10um,2,F1F,O_N_38_2,38,,2,4.606496072,8.046059718,old-2.0-10
old method,10um,2,F1F,O_N_38_3,38,,3,3.910246669,8.922195129,old-2.0-10
old method,10um,2,F1F,O_N_38_9,38,,9,7.007272186,13.0837165,old-2.0-10
old method,10um,2,F1F,O_N_38_10,38,,10,5.947177974,7.718275519,old-2.0-10
old method,10um,2,F1F,O_N_38_13,38,,13,5.913453014,9.560476824,old-2.0-10
old method,10um,2,F1F,O_N_38_18,38,,18,12.22357282,17.24231523,old-2.0-10
old method,10um,2,F1F,O_N_38_20,38,,20,5.35017854,9.925147525,old-2.0-10
old method,10um,2,F1F,O_N_38_22A,38,,22A,5.270805023,8.972483898,old-2.0-10
old method,10um,2,F1F,O_N_38_25,38,,25,8.390524181,12.13714546,old-2.0-10
old method,10um,2,F1F,O_N_54A_15,54,A,15,20.20108221,29.01520863,old-2.0-10
old method,10um,2,F1F,O_N_2_11B,2,,11B,4.503978542,8.070004188,old-2.0-10
old method,10um,2,F1F,O_N_2_11A,2,,11A,5.69845797,10.28988965,old-2.0-10
old method,10um,2,F1F,O_N_2_19,2,,19,9.434080262,11.45038902,old-2.0-10
old method,10um,2,F1F,O_N_14A_4,14,A,4,4.72007738,8.606531705,old-2.0-10
old method,10um,2,F1F,O_N_14A_15,14,A,15,6.869767842,15.96254564,old-2.0-10
old method,10um,2,F1F,O_N_54A_31,54,A,31,4.850920685,7.494346281,old-2.0-10
old method,10um,2,F1F,O_N_14A_27,14,A,27,4.258811588,9.46085585,old-2.0-10
old method,10um,2,F2F,O_N_32A-3,32,A,3,6.985874407,9.844961315,old-2.0-10
old method,10um,2,F2F,O_N_32A-21,32,A,21,11.26412536,19.02013619,old-2.0-10
old method,10um,2,F2F,O_N_32A-29,32,A,29,5.578639266,8.581462762,old-2.0-10
old method,10um,2,F2F,O_N_32B-3,32,B,3,8.453412111,14.87708391,old-2.0-10
old method,10um,2,F2F,O_N_32B-7,32,B,7,6.315769056,9.413929443,old-2.0-10
old method,10um,2,F2F,O_N_32B-16,32,B,16,6.651225083,11.20511037,old-2.0-10
old method,10um,2,F2F,O_N_32C-3,32,C,3,12.50653084,21.95290737,old-2.0-10
old method,10um,2,F2F,O_N_32C-4,32,C,4,5.262186725,9.958181279,old-2.0-10
old method,10um,2,F2F,O_N_32C-7,32,C,7,7.218568477,12.85632352,old-2.0-10
old method,20um,2,Unheated,O.N.87_A_14,87,A,14,7.282168925,8.082315236,old-2.0-20
old method,20um,2,Unheated,O.N.87_A_17,87,A,17,6.406155652,6.775824112,old-2.0-20
old method,20um,2,Unheated,O.N.87_A_19,87,A,19,17.12111876,17.34689978,old-2.0-20
old method,20um,2,Unheated,O.N.87_A_22,87,A,22,10.1469161,15.05590634,old-2.0-20
old method,20um,2,Unheated,O.N.87_A_29,87,A,29,6.908853879,5.887169173,old-2.0-20
old method,20um,2,Unheated,O.N.87_A_4,87,A,4,7.44598581,9.544049082,old-2.0-20
old method,20um,2,Unheated,O.N.87_A_5,87,A,5,6.787195381,7.345717161,old-2.0-20
old method,20um,2,Unheated,O.N.87_A_9,87,A,9,4.389964459,4.510990021,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_13,87,B,13,5.811575694,7.479297397,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_19,87,B,19,8.831225273,10.371472,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_23,87,B,23,7.806682361,8.315929888,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_24,87,B,24,12.10407668,16.0816396,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_28,87,B,28,8.992770065,11.85393247,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_2,87,B,2,8.445341207,9.752155062,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_31,87,B,31,18.02133755,21.06571135,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_6,87,B,6,14.08524677,16.73242686,old-2.0-20
old method,20um,2,Unheated,O.N.87_B_7,87,B,7,12.1151255,16.76708817,old-2.0-20
old method,20um,2,F1S,O_N_37_2,37,,2,9.80370666,18.19654281,old-2.0-20
old method,20um,2,F1S,O_N_37_3A,37,,3A,4.649839111,7.911777883,old-2.0-20
old method,20um,2,F1S,O_N_37_4A,37,,4A,5.635926224,13.00289366,old-2.0-20
old method,20um,2,F1S,O_N_37_8A,37,,8A,12.00479524,16.79196,old-2.0-20
old method,20um,2,F1S,O_N_37_8B,37,,8B,3.941661068,6.928738869,old-2.0-20
old method,20um,2,F1S,O_N_37_12A,37,,12A,6.600511945,9.365606343,old-2.0-20
old method,20um,2,F1S,O_N_37_17A,37,,17A,3.707973748,6.771333828,old-2.0-20
old method,20um,2,F1S,O_N_37_21,37,,21,6.88786015,15.522537,old-2.0-20
old method,20um,2,F1S,O_N_37_30,37,,30,4.506932098,8.445896683,old-2.0-20
old method,20um,2,F1S,O_N_37_45,37,,45,6.877741467,13.13488926,old-2.0-20
old method,20um,2,F1S,O_N_1_1,1,,1,8.021443896,8.405310996,old-2.0-20
old method,20um,2,F1S,O_N_1_6A,1,,6A,12.83690496,16.64618093,old-2.0-20
old method,20um,2,F1S,O_N_1_7A,1,,7A,9.039981197,11.29927455,old-2.0-20
old method,20um,2,F1S,O_N_1_7B,1,,7B,11.61200369,14.86221538,old-2.0-20
old method,20um,2,F1S,O_N_1_8A,1,,8A,11.77565249,15.78177947,old-2.0-20
old method,20um,2,F1S,O_N_1_15A,1,,15A,10.96856004,13.57600981,old-2.0-20
old method,20um,2,F1S,O_N_1_21,1,,21,13.47500033,17.69726736,old-2.0-20
old method,20um,2,F2S,O_N_31_3A,31,,3A,2.699620966,7.766830779,old-2.0-20
old method,20um,2,F2S,O_N_31_5A,31,,5A,3.768849183,4.98458198,old-2.0-20
old method,20um,2,F2S,O_N_31_8,31,,8,3.462964235,7.640706106,old-2.0-20
old method,20um,2,F2S,O_N_31_12A,31,,12A,6.358583535,13.18016175,old-2.0-20
old method,20um,2,F2S,O_N_31_12B,31,,12B,5.488368969,11.52072463,old-2.0-20
old method,20um,2,F2S,O_N_31_16,31,,16,8.97153807,19.99945443,old-2.0-20
