method,scale,distance,treatment,flake,nodule number,nodule sub number,flake number,average curvature,standard deviation,sheet
old method,10um,0.1,F1F,O_N_14A_4,14,A,4,14.8770887,25.75115153,old-0.1-10
old method,10um,0.1,F1F,O_N_14A_15,14,A,15,19.94314439,38.28154868,old-0.1-10
old method,10um,0.1,F1F,O_N_54A_31,54,A,31,15.68478963,24.75894751,old-0.1-10
old method,10um,0.1,F1F,O_N_14A_27,14,A,27,20.4714743,32.53266106,old-0.1-10
old method,10um,0.1,F2F,O_N_32A-3,32,A,3,20.40037366,23.75866744,old-0.1-10
old method,10um,0.1,F2F,O_N_32A-21,32,A,21,16.02488822,25.54033576,old-0.1-10
old method,10um,0.1,F2F,O_N_32A-29,32,A,29,18.81526048,29.00361883,old-0.1-10
old method,10um,0.1,F2F,O_N_32B-3,32,B,3,17.03776292,35.0219121,old-0.1-10
old method,10um,0.1,F2F,O_N_32B-7,32,B,7,16.04497533,26.04715244,old-0.1-10
old method,10um,0.1,F2F,O_N_32B-16,32,B,16,21.96396868,36.82466569,old-0.1-10
old method,10um,0.1,F2F,O_N_32C-3,32,C,3,28.73469573,39.250283,old-0.1-10
old method,10um,0.1,F2F,O_N_32C-4,32,C,4,19.87599862,35.07043681,old-0.1-10
old method,10um,0.1,F2F,O_N_32C-7,32,C,7,20.0515598,35.99628669,old-0.1-10
old method,20um,0.1,Unheated,O.N.87_A_14,87,A,14,14.65535619,18.68450616,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_A_17,87,A,17,12.17655956,15.42857595,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_A_19,87,A,19,24.23969295,23.56939296,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_A_22,87,A,22,16.38480736,17.85248139,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_A_29,87,A,29,8.454831316,9.375455089,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_A_4,87,A,4,18.45456637,27.1459246,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_A_5,87,A,5,12.51579875,17.13513215,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_A_9,87,A,9,6.63515679,10.48267059,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_13,87,B,13,11.54733257,21.81559279,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_19,87,B,19,12.35120361,19.09613782,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_23,87,B,23,13.15448552,14.80242173,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_24,87,B,24,9.429019733,9.770490283,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_28,87,B,28,19.42275027,19.20863428,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_2,87,B,2,17.10764843,24.8677785,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_31,87,B,31,16.91290133,20.64530328,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_6,87,B,6,13.0322201,11.59333146,old-0.1-20
old method,20um,0.1,Unheated,O.N.87_B_7,87,B,7,10.34847361,11.58089826,old-0.1-20
old method,20um,0.1,F1S,O_N_37_2,37,,2,11.11523212,14.44929342,old-0.1-20
