method,scale,distance,treatment,heating_condition,flake,nodule_number,nodule_sub_number,flake_number,average_curvature,standard_deviation,sheet,fuelwood,wood_density,fuelwood_key,n_source_rows
old method,10um,0.1,F2S,sand,O_N_31_28,31,NA,28,12.5513756254956,16.73363363,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2S,sand,O_N_31_32,31,NA,32,25.1661972795326,45.90233795,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2S,sand,O_N_31_39,31,NA,39,19.8795111198976,23.37487603,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2S,sand,O_N_31_47,31,NA,47,36.9256218815595,48.9340253,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2S,sand,O_N_31_50,31,NA,50,32.2511058885431,40.31094025,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2S,sand,O_N_35_6,35,NA,6,18.1080666863676,32.9094658,old-0.1-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.1,F2S,sand,O_N_35_28,35,NA,28,18.068923271070496,31.60378978,old-0.1-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.1,F2S,sand,O_N_35_29,35,NA,29,17.0578864613155,36.22264326,old-0.1-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.1,F2S,sand,O_N_35_31,35,NA,31,17.4602988011382,18.66138444,old-0.1-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.1,F2S,sand,O_N_35_33,35,NA,33,16.1686425359907,22.88510589,old-0.1-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.1,F1F,ember,O_N_38_2,38,NA,2,16.1423066767055,29.93928952,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_38_3,38,NA,3,15.4183849534385,31.44322005,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_38_9,38,NA,9,21.3764893811345,33.38776297,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_38_10,38,NA,10,11.1524016416303,19.57838798,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_38_13,38,NA,13,18.4212991236043,30.51370802,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_38_18,38,NA,18,24.5132093097566,28.78318774,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_38_20,38,NA,20,15.4997661924668,27.03142835,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_38_22A,38,NA,22A,16.0426338713334,28.12013386,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_38_25,38,NA,25,17.4471079433943,27.24181406,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1F,ember,O_N_54A_15,54,A,15,51.071539637249295,55.42654135,old-0.1-10,Protea susannae,0.6,protea susannae,18
old method,10um,0.1,F1F,ember,O_N_2_11B,2,NA,11B,18.4011181279131,26.36501431,old-0.1-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.1,F1F,ember,O_N_2_11A,2,NA,11A,18.9161629063254,35.12064698,old-0.1-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.1,F1F,ember,O_N_2_19,2,NA,19,14.9430392602302,26.55871649,old-0.1-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.1,F1F,ember,O_N_14A_4,14,A,4,14.8770886954874,25.75115153,old-0.1-10,Protea obtusifolia,0.58,protea obtusifolia,27
