method,scale,distance,treatment,heating_condition,flake,nodule_number,nodule_sub_number,flake_number,average_curvature,standard_deviation,sheet,fuelwood,wood_density,fuelwood_key,n_source_rows
old method,10um,0.5,F1S,sand,O_N_1_1,1,NA,1,12.1250072289125,12.7041642836997,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1S,sand,O_N_1_6A,1,NA,6A,10.989211422706,13.9932755035562,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1S,sand,O_N_1_7A,1,NA,7A,14.0134295140098,20.8522985399719,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1S,sand,O_N_1_7B,1,NA,7B,20.1141255414575,27.7346979267909,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1S,sand,O_N_1_8A,1,NA,8A,15.8152839642774,19.2522965304498,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1S,sand,O_N_1_15A,1,NA,15A,18.110558441068296,19.82778757,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1S,sand,O_N_1_21,1,NA,21,21.3061088695208,27.886930926077895,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F2S,sand,O_N_31_3A,31,NA,3A,8.91043939603137,27.0706576895262,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_5A,31,NA,5A,6.45860328959996,10.4320192599459,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_8,31,NA,8,7.13179952884879,18.9288459,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_12A,31,NA,12A,9.52853591031803,20.6939629750444,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_12B,31,NA,12B,15.7389894608363,27.943808881227095,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_16,31,NA,16,18.9013165843072,42.3569273647925,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_26,31,NA,26,13.3777661706027,18.6427282455538,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_28,31,NA,28,6.3584882185267695,9.275840521970322,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_32,31,NA,32,9.73226596914536,26.3596931292718,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_39,31,NA,39,9.69184863375405,14.9239526708214,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_47,31,NA,47,16.3473097089825,30.7903298178364,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_31_50,31,NA,50,14.544228916216,27.3379086988324,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2S,sand,O_N_35_6,35,NA,6,8.38443158176533,17.3417934776412,old-0.5-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.5,F2S,sand,O_N_35_28,35,NA,28,7.0106766882395695,15.7697798794004,old-0.5-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.5,F2S,sand,O_N_35_29,35,NA,29,7.58863267170663,19.5386759461588,old-0.5-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.5,F2S,sand,O_N_35_31,35,NA,31,10.0753897435068,13.2093576548055,old-0.5-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.5,F2S,sand,O_N_35_33,35,NA,33,6.35096074491327,12.471967942891,old-0.5-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,0.5,F1F,ember,O_N_38_2,38,NA,2,6.62801072511373,14.5970658620572,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_38_3,38,NA,3,6.42731211122026,16.2501373375438,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_38_9,38,NA,9,12.4988841495697,22.5392688645091,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_38_10,38,NA,10,7.917589735940769,11.8594666734756,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_38_13,38,NA,13,6.19691609571998,15.4233217047926,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_38_18,38,NA,18,14.9597103708406,27.2080860171114,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_38_20,38,NA,20,6.028748048471569,14.2611164990153,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_38_22A,38,NA,22A,7.01355378991697,14.6309924262413,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_38_25,38,NA,25,8.9996027261628,14.3021283090039,old-0.5-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.5,F1F,ember,O_N_54A_15,54,A,15,26.1185913299938,37.7139199732582,old-0.5-10,Protea susannae,0.6,protea susannae,18
old method,10um,0.5,F1F,ember,O_N_2_11B,2,NA,11B,6.9503890455855295,14.4593881122718,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1F,ember,O_N_2_11A,2,NA,11A,7.882654965240739,16.8547915712394,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1F,ember,O_N_2_19,2,NA,19,11.6742644892444,16.5218102599737,old-0.5-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,0.5,F1F,ember,O_N_14A_4,14,A,4,8.750529664691332,15.2976455816801,old-0.5-10,Protea obtusifolia,0.58,protea obtusifolia,27
old method,10um,0.5,F1F,ember,O_N_14A_15,14,A,15,5.64596235191843,19.09927985,old-0.5-10,Protea obtusifolia,0.58,protea obtusifolia,27
old method,10um,0.5,F1F,ember,O_N_54A_31,54,A,31,7.04459542173328,12.8997541967542,old-0.5-10,Protea susannae,0.6,protea susannae,18
old method,10um,0.5,F1F,ember,O_N_14A_27,14,A,27,6.72147914867938,17.451501021792,old-0.5-10,Protea obtusifolia,0.58,protea obtusifolia,27
old method,10um,0.5,F2F,ember,O_N_32A-3,32,A,3,9.62838354124629,13.8558788821085,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2F,ember,O_N_32A-21,32,A,21,15.3975741342816,28.581655369101,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2F,ember,O_N_32A-29,32,A,29,6.82891266965549,15.0299173126553,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2F,ember,O_N_32B-3,32,B,3,8.28181772244673,18.00447857,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2F,ember,O_N_32B-7,32,B,7,6.76582046157068,15.1558700251174,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2F,ember,O_N_32B-16,32,B,16,9.57325661854652,18.9032191201355,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2F,ember,O_N_32C-3,32,C,3,17.860424706324,30.0141000831931,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2F,ember,O_N_32C-4,32,C,4,7.630671047240659,17.9333586115948,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.5,F2F,ember,O_N_32C-7,32,C,7,8.21878740732599,17.801165946566,old-0.5-10,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,Unheated,unheated,O.N.87_A_14,87,A,14,7.302558936619492,10.6622751080339,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_A_17,87,A,17,8.77745379485519,9.4624775465928,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_A_19,87,A,19,21.647773915381105,20.8699099658193,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_A_22,87,A,22,13.5871561776116,15.2342410011443,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_A_29,87,A,29,6.39397185898623,6.50602193326448,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_A_4,87,A,4,8.14160853367102,13.9155062629497,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_A_5,87,A,5,10.0193268023557,11.2985509986105,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_A_9,87,A,9,5.04690016285672,6.60338692633588,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_13,87,B,13,7.974487227823718,12.3685511176907,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_19,87,B,19,6.97534627084919,10.4127126038819,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_23,87,B,23,10.1469815650647,11.508390921468,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_24,87,B,24,8.61584445601809,9.599082547,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_28,87,B,28,13.8474959126773,15.814390760495,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_2,87,B,2,12.2025325025122,14.7673532139153,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_31,87,B,31,16.5083105557683,18.8797643310846,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_6,87,B,6,10.9865688162379,10.5207110259719,old-0.5-20,none,NA,none,153
old method,20um,0.5,Unheated,unheated,O.N.87_B_7,87,B,7,5.65609346819645,6.44139100344652,old-0.5-20,none,NA,none,153
old method,20um,0.5,F1S,sand,O_N_37_2,37,NA,2,20.212722955611696,27.5097972571663,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_3A,37,NA,3A,3.38129773915607,6.49584110620489,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_4A,37,NA,4A,6.57739599466199,13.4199731622659,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_8A,37,NA,8A,12.6631636936163,18.2570119672881,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_8B,37,NA,8B,7.3090074643545,11.1196470267226,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_12A,37,NA,12A,10.6545580372416,14.1541189113361,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_17A,37,NA,17A,7.286769808303869,12.4364693755353,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_21,37,NA,21,6.544082298209,18.5668480219229,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_30,37,NA,30,4.42117044129719,9.62312216262134,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_37_45,37,NA,45,3.92247308315942,10.5985183126432,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1S,sand,O_N_1_1,1,NA,1,8.18493208771867,8.27628487508477,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1S,sand,O_N_1_6A,1,NA,6A,7.989484069091129,10.0453734575043,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1S,sand,O_N_1_7A,1,NA,7A,9.79750334431912,15.4918081483435,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1S,sand,O_N_1_7B,1,NA,7B,13.2838065052174,16.979981705279,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1S,sand,O_N_1_8A,1,NA,8A,9.96038530039242,11.8444557808213,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1S,sand,O_N_1_15A,1,NA,15A,13.0552669237759,15.7693961761482,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1S,sand,O_N_1_21,1,NA,21,16.1350422614599,19.0929983362469,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F2S,sand,O_N_31_3A,31,NA,3A,5.79375577984594,14.5527061085894,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_5A,31,NA,5A,4.70359333208601,8.1715334644456,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_8,31,NA,8,5.34684071137914,14.0471565387412,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_12A,31,NA,12A,7.57363996125452,13.5544545799498,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_12B,31,NA,12B,11.8846177731272,19.1136747067282,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_16,31,NA,16,10.5834582464468,24.6933764658923,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_26,31,NA,26,8.676609546060478,13.2131063023345,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_28,31,NA,28,4.65814018660993,7.80044845310936,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_32,31,NA,32,6.19867408208109,17.5261724447628,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_39,31,NA,39,6.07007068019032,10.2775940669058,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_47,31,NA,47,11.0019362503868,22.3908247887542,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_31_50,31,NA,50,9.18095349532704,16.8748244385657,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2S,sand,O_N_35_6,35,NA,6,5.97169437170658,11.5071974668966,old-0.5-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.5,F2S,sand,O_N_35_28,35,NA,28,5.35668091268276,11.3405446602469,old-0.5-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.5,F2S,sand,O_N_35_29,35,NA,29,4.7496202921034,13.0245053445978,old-0.5-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.5,F2S,sand,O_N_35_31,35,NA,31,6.03249268651122,7.87294713045316,old-0.5-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.5,F2S,sand,O_N_35_33,35,NA,33,4.80034129127496,10.551548722406,old-0.5-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.5,F1F,ember,O_N_38_2,38,NA,2,4.32224979109091,10.0033473663061,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_38_3,38,NA,3,4.71642489762398,11.2790396162113,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_38_9,38,NA,9,8.79588854441768,16.0120910552789,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_38_10,38,NA,10,5.80236747546142,8.843909786446,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_38_13,38,NA,13,4.47963993679673,11.2353977748475,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_38_18,38,NA,18,8.31147936579832,12.4499108320386,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_38_20,38,NA,20,4.30145947418177,11.0793590191202,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_38_22A,38,NA,22A,4.50478402827824,10.5109175580423,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_38_25,38,NA,25,5.34958569662553,10.945322894209,old-0.5-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.5,F1F,ember,O_N_54A_15,54,A,15,18.053112128011495,22.843316950674495,old-0.5-20,Protea susannae,0.6,protea susannae,18
old method,20um,0.5,F1F,ember,O_N_2_11B,2,NA,11B,5.26002666260488,12.4275722953792,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1F,ember,O_N_2_11A,2,NA,11A,4.9155867981009695,9.99823646264905,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1F,ember,O_N_2_19,2,NA,19,8.38347721325052,12.4304500755926,old-0.5-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.5,F1F,ember,O_N_14A_4,14,A,4,5.80865760225066,10.0818626873598,old-0.5-20,Protea obtusifolia,0.58,protea obtusifolia,27
old method,20um,0.5,F1F,ember,O_N_14A_15,14,A,15,4.04301599008172,12.3773952133536,old-0.5-20,Protea obtusifolia,0.58,protea obtusifolia,27
old method,20um,0.5,F1F,ember,O_N_54A_31,54,A,31,4.84608029054207,10.0670884214745,old-0.5-20,Protea susannae,0.6,protea susannae,18
old method,20um,0.5,F1F,ember,O_N_14A_27,14,A,27,4.9751417892998004,13.3821781142579,old-0.5-20,Protea obtusifolia,0.58,protea obtusifolia,27
old method,20um,0.5,F2F,ember,O_N_32A-3,32,A,3,6.31228576140645,10.261397459248,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2F,ember,O_N_32A-21,32,A,21,9.48955288186163,12.35323822,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2F,ember,O_N_32A-29,32,A,29,4.87941890339372,11.4659863804855,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2F,ember,O_N_32B-3,32,B,3,6.68114659550062,13.2548621964625,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2F,ember,O_N_32B-7,32,B,7,4.8624032037991904,11.5210154942039,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2F,ember,O_N_32B-16,32,B,16,7.62965492900919,16.1661030130442,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2F,ember,O_N_32C-3,32,C,3,12.9093453217969,18.9112553104917,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2F,ember,O_N_32C-4,32,C,4,5.18563453732244,12.5570731172879,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.5,F2F,ember,O_N_32C-7,32,C,7,5.7985003672216,14.1248402570313,old-0.5-20,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,Unheated,unheated,O.N.87_A_14,87,A,14,11.4669752154457,11.13515411,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_A_17,87,A,17,9.89553834398352,10.62801427,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_A_19,87,A,19,26.9338578284576,32.79213604,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_A_22,87,A,22,18.784521737231305,26.94577752,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_A_29,87,A,29,8.70226402707768,7.73320425,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_A_4,87,A,4,9.67790424937041,13.89794314,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_A_5,87,A,5,10.8908367868945,12.4898556,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_A_9,87,A,9,7.16005197580902,7.740436389,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_13,87,B,13,9.73174002620882,12.82357872,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_19,87,B,19,10.7809476627056,12.3211511,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_23,87,B,23,13.0703035522526,14.81458699,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_24,87,B,24,21.3106790732047,30.9335052,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_28,87,B,28,14.2099883524138,19.94708571,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_2,87,B,2,14.6760668003502,20.14764795,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_31,87,B,31,24.6989611450428,33.03669365,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_6,87,B,6,23.106320073282696,28.0581875,old-1.0-10,none,NA,none,153
old method,10um,1,Unheated,unheated,O.N.87_B_7,87,B,7,12.8851915661716,15.29062868,old-1.0-10,none,NA,none,153
old method,10um,1,F1S,sand,O_N_37_2,37,NA,2,18.9935162463935,31.32714489,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_3A,37,NA,3A,6.84240889994331,10.89381623,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_4A,37,NA,4A,6.54655543993575,13.72438964,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_8A,37,NA,8A,18.682232413571896,30.7931381,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_8B,37,NA,8B,10.7706939185572,21.13386515,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_12A,37,NA,12A,10.6776176971747,15.04365054,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_17A,37,NA,17A,9.58432809433963,16.46668811,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_21,37,NA,21,14.6557880543382,30.54240954,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_30,37,NA,30,7.396709804129809,13.15848113,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_37_45,37,NA,45,4.95517122040299,10.62911025,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1S,sand,O_N_1_1,1,NA,1,12.477414615855,15.54028598,old-1.0-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,1,F1S,sand,O_N_1_6A,1,NA,6A,20.3747074327756,26.71457986,old-1.0-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,1,F1S,sand,O_N_1_7A,1,NA,7A,11.9174244276715,16.89569171,old-1.0-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,1,F1S,sand,O_N_1_7B,1,NA,7B,21.0358113859816,31.54628937,old-1.0-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,1,F1S,sand,O_N_1_8A,1,NA,8A,19.9986489701308,27.2918314,old-1.0-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,1,F1S,sand,O_N_1_15A,1,NA,15A,20.7466968128972,23.62091046,old-1.0-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,1,F1S,sand,O_N_1_21,1,NA,21,21.692797556349696,27.73994784,old-1.0-10,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,10um,1,F2S,sand,O_N_31_3A,31,NA,3A,6.119238020323089,19.53870591,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_5A,31,NA,5A,6.76800633259547,8.889080848,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_8,31,NA,8,5.948815617072049,13.95173805,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_12A,31,NA,12A,7.744044794567991,16.12282065,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_12B,31,NA,12B,11.5353815652609,21.73737487,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_16,31,NA,16,21.2888633820375,41.33674315,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_26,31,NA,26,9.78608090075556,14.78299387,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_28,31,NA,28,5.75841448155321,7.485662535,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_32,31,NA,32,6.65495231013834,19.43960428,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_39,31,NA,39,8.58741679477002,12.4720363,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_47,31,NA,47,11.6950074502312,23.77871576,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_31_50,31,NA,50,14.5335061202246,23.69096392,old-1.0-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,1,F2S,sand,O_N_35_6,35,NA,6,6.14277581321925,12.72848785,old-1.0-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,1,F2S,sand,O_N_35_28,35,NA,28,5.56885731225607,11.59718284,old-1.0-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,1,F2S,sand,O_N_35_29,35,NA,29,7.39646428191454,16.39992826,old-1.0-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,1,F2S,sand,O_N_35_31,35,NA,31,11.5869237209475,17.88056949,old-1.0-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,1,F2S,sand,O_N_35_33,35,NA,33,5.32902511275274,9.434183894,old-1.0-10,Olea exasperata,0.75,olea exasperata,45
old method,10um,1,F1F,ember,O_N_38_2,38,NA,2,5.19700507274643,10.73859181,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,1,F1F,ember,O_N_38_3,38,NA,3,4.45565428567128,12.02433435,old-1.0-10,Searsia lucida,0.7,searsia lucida,171
